cve_id,description,cwe,vendors,products,cvss_base_score,cvss_exploitability_score,cvss_impact_score,attackVector,attackComplexity,privilegesRequired,userInteraction,scope,confidentialityImpact,integrityImpact,availabilityImpact,published,modified,is_exploited
CVE-2018-202150,Vulnerability in product allows CWE-22 with LOCAL access and HIGH attack complexity. Requires LOW privileges and user interaction=NONE. CVSS base score 4.4. Exploitation in the wild has not been confirmed.,CWE-22,Linux;VMware,CMS,4.380999713843856,1.9720033113278816,6.131812830825596,LOCAL,HIGH,LOW,NONE,UNCHANGED,LOW,LOW,NONE,2018-11-13T21:20Z,2018-10-14T06:18Z,0
CVE-2019-206887,Vulnerability in product allows CWE-352 with NETWORK access and LOW attack complexity. Requires NONE privileges and user interaction=REQUIRED. CVSS base score 3.7. Exploitation in the wild has not been confirmed.,CWE-352,Adobe,Database Server;Web Browser,3.710884581465055,3.8404483731908607,3.987064520241492,NETWORK,LOW,NONE,REQUIRED,UNCHANGED,NONE,LOW,NONE,2019-10-08T04:34Z,2019-10-27T13:36Z,0
CVE-2022-204672,Vulnerability in product allows CWE-79 with NETWORK access and LOW attack complexity. Requires LOW privileges and user interaction=REQUIRED. CVSS base score 7.1. Exploitation in the wild has not been confirmed.,CWE-79,Adobe;Google,Database Server,7.10064952917835,8.83728819950002,7.048367117171354,NETWORK,LOW,LOW,REQUIRED,UNCHANGED,HIGH,NONE,HIGH,2022-01-29T18:07Z,2022-10-16T01:47Z,0
CVE-2020-205053,Vulnerability in product allows CWE-787 with NETWORK access and LOW attack complexity. Requires LOW privileges and user interaction=NONE. CVSS base score 4.0. Exploitation in the wild has not been confirmed.,CWE-787,Oracle;SAP,Chrome;Java SE;Windows,3.9663823394353033,3.8722156385907414,1.7754966545228008,NETWORK,LOW,LOW,NONE,UNCHANGED,NONE,NONE,HIGH,2020-12-18T06:55Z,2020-02-01T06:04Z,0
CVE-2020-203399,Vulnerability in product allows CWE-476 with ADJACENT access and LOW attack complexity. Requires HIGH privileges and user interaction=NONE. CVSS base score 1.5. Exploitation in the wild has not been confirmed.,CWE-476,Apple;SAP,CMS;Java SE;Windows,1.5068716627692664,0.9479336759788426,1.8626560247574864,ADJACENT,LOW,HIGH,NONE,CHANGED,LOW,NONE,NONE,2020-04-04T19:47Z,2020-05-09T03:44Z,0
CVE-2023-205433,Vulnerability in product allows CWE-476 with NETWORK access and HIGH attack complexity. Requires HIGH privileges and user interaction=REQUIRED. CVSS base score 6.8. Exploitation in the wild has not been confirmed.,CWE-476,SAP,Acrobat Reader;Database Server;Exchange Server,6.7877308080423395,6.979129273842469,5.878116167793363,NETWORK,HIGH,HIGH,REQUIRED,CHANGED,NONE,LOW,LOW,2023-12-04T20:59Z,2023-09-06T02:08Z,0
CVE-2022-100582,Vulnerability in product allows CWE-200 with NETWORK access and LOW attack complexity. Requires LOW privileges and user interaction=NONE. CVSS base score 9.7. This issue has been observed exploited in the wild.,CWE-200,Apple;Linux,Android;Exchange Server;VPN Appliance,9.662517332619977,10.0,8.977671149932442,NETWORK,LOW,LOW,NONE,UNCHANGED,HIGH,LOW,HIGH,2022-09-04T03:20Z,2022-08-25T05:04Z,1
CVE-2021-209330,Vulnerability in product allows CWE-20 with NETWORK access and HIGH attack complexity. Requires HIGH privileges and user interaction=REQUIRED. CVSS base score 4.7. Exploitation in the wild has not been confirmed.,CWE-20,Google;Oracle,CMS;iOS,4.655750551286738,4.0000676012690635,5.457399296332314,NETWORK,HIGH,HIGH,REQUIRED,UNCHANGED,NONE,LOW,NONE,2021-03-04T00:25Z,2021-06-16T01:22Z,0
CVE-2023-206451,Vulnerability in product allows CWE-287 with NETWORK access and HIGH attack complexity. Requires HIGH privileges and user interaction=NONE. CVSS base score 4.6. Exploitation in the wild has not been confirmed.,CWE-287,Adobe;Cisco,VPN Appliance,4.607873572056536,5.839167240891983,4.109578558264989,NETWORK,HIGH,HIGH,NONE,UNCHANGED,NONE,NONE,NONE,2023-09-23T16:28Z,2023-12-29T04:40Z,0
CVE-2018-207558,Vulnerability in product allows CWE-22 with PHYSICAL access and HIGH attack complexity. Requires NONE privileges and user interaction=REQUIRED. CVSS base score 5.8. Exploitation in the wild has not been confirmed.,CWE-22,Cisco,Database Server;Safari;iOS,5.758851185436322,3.6937024629293242,3.1979067479344643,PHYSICAL,HIGH,NONE,REQUIRED,UNCHANGED,HIGH,NONE,NONE,2018-03-17T02:44Z,2018-09-08T13:57Z,0
CVE-2021-209296,Vulnerability in product allows CWE-22 with NETWORK access and LOW attack complexity. Requires NONE privileges and user interaction=REQUIRED. CVSS base score 3.4. Exploitation in the wild has not been confirmed.,CWE-22,SAP,Android,3.366725633714962,3.4452476099720855,3.521147949336354,NETWORK,LOW,NONE,REQUIRED,CHANGED,HIGH,LOW,LOW,2021-12-20T11:12Z,2021-03-12T21:23Z,0
CVE-2018-201649,Vulnerability in product allows CWE-287 with NETWORK access and HIGH attack complexity. Requires HIGH privileges and user interaction=REQUIRED. CVSS base score 4.7. Exploitation in the wild has not been confirmed.,CWE-287,Cisco;SAP,CMS;iOS,4.736575139424895,4.540748949631464,2.985461837605892,NETWORK,HIGH,HIGH,REQUIRED,UNCHANGED,LOW,NONE,LOW,2018-03-24T19:55Z,2018-02-23T21:01Z,0
CVE-2021-204040,Vulnerability in product allows CWE-287 with NETWORK access and LOW attack complexity. Requires LOW privileges and user interaction=NONE. CVSS base score 3.9. Exploitation in the wild has not been confirmed.,CWE-287,Adobe;Cisco,Android;Safari;Web Browser,3.8745204387676937,1.1946398082289722,3.600322590362884,NETWORK,LOW,LOW,NONE,CHANGED,NONE,NONE,NONE,2021-07-03T08:03Z,2021-12-31T15:47Z,0
CVE-2018-208885,Vulnerability in product allows CWE-352 with LOCAL access and HIGH attack complexity. Requires LOW privileges and user interaction=NONE. CVSS base score 4.1. Exploitation in the wild has not been confirmed.,CWE-352,Linux,Linux Kernel,4.0767062924375,1.9149253058468423,3.1276989296678144,LOCAL,HIGH,LOW,NONE,UNCHANGED,NONE,NONE,HIGH,2018-04-03T01:10Z,2018-03-08T05:22Z,0
CVE-2018-204347,Vulnerability in product allows CWE-787 with ADJACENT access and LOW attack complexity. Requires LOW privileges and user interaction=REQUIRED. CVSS base score 5.4. Exploitation in the wild has not been confirmed.,CWE-787,Oracle,Android;Exchange Server,5.434463467235987,3.7579976077308785,6.355057455039912,ADJACENT,LOW,LOW,REQUIRED,CHANGED,NONE,HIGH,LOW,2018-03-13T13:09Z,2018-11-10T16:25Z,0
CVE-2023-209320,Vulnerability in product allows CWE-200 with NETWORK access and LOW attack complexity. Requires LOW privileges and user interaction=REQUIRED. CVSS base score 5.5. Exploitation in the wild has not been confirmed.,CWE-200,IBM;VMware,Acrobat Reader;CMS;Windows,5.542665941694756,4.216070385628928,4.7650413530877875,NETWORK,LOW,LOW,REQUIRED,UNCHANGED,NONE,HIGH,NONE,2023-02-20T00:06Z,2023-04-11T12:33Z,0
CVE-2018-201363,Vulnerability in product allows CWE-79 with NETWORK access and LOW attack complexity. Requires LOW privileges and user interaction=REQUIRED. CVSS base score 2.3. Exploitation in the wild has not been confirmed.,CWE-79,Apple;Cisco,Exchange Server;Web Browser;iOS,2.300747575324901,0.1730621540757662,3.3841471332489936,NETWORK,LOW,LOW,REQUIRED,CHANGED,NONE,LOW,HIGH,2018-07-06T22:03Z,2018-06-14T15:05Z,0
CVE-2020-207643,Vulnerability in product allows CWE-89 with NETWORK access and HIGH attack complexity. Requires HIGH privileges and user interaction=NONE. CVSS base score 8.3. Exploitation in the wild has not been confirmed.,CWE-89,Oracle,Windows,8.34631390962993,8.982527883952152,9.464174932086502,NETWORK,HIGH,HIGH,NONE,UNCHANGED,NONE,NONE,LOW,2020-02-22T18:34Z,2020-11-19T09:21Z,0
CVE-2023-205990,Vulnerability in product allows CWE-79 with LOCAL access and LOW attack complexity. Requires HIGH privileges and user interaction=REQUIRED. CVSS base score 2.9. Exploitation in the wild has not been confirmed.,CWE-79,Microsoft,CMS;Exchange Server;Web Browser,2.920662715513537,1.0842215438157252,2.490313601181951,LOCAL,LOW,HIGH,REQUIRED,UNCHANGED,LOW,HIGH,NONE,2023-02-20T06:18Z,2023-03-20T16:59Z,0
CVE-2020-208247,Vulnerability in product allows CWE-200 with NETWORK access and LOW attack complexity. Requires NONE privileges and user interaction=REQUIRED. CVSS base score 7.1. Exploitation in the wild has not been confirmed.,CWE-200,Microsoft,Chrome,7.103500883355359,4.443679190962956,7.130042162690954,NETWORK,LOW,NONE,REQUIRED,UNCHANGED,HIGH,LOW,LOW,2020-10-21T14:43Z,2020-07-20T00:04Z,0
CVE-2019-100321,Vulnerability in product allows CWE-20 with NETWORK access and LOW attack complexity. Requires NONE privileges and user interaction=NONE. CVSS base score 9.4. This issue has been observed exploited in the wild.,CWE-20,Cisco;Oracle,CMS;Safari,9.379337809719205,8.431841755873318,10.0,NETWORK,LOW,NONE,NONE,CHANGED,HIGH,HIGH,HIGH,2019-12-30T08:33Z,2019-08-13T08:13Z,1
CVE-2018-202078,Vulnerability in product allows CWE-89 with NETWORK access and HIGH attack complexity. Requires HIGH privileges and user interaction=REQUIRED. CVSS base score 5.5. Exploitation in the wild has not been confirmed.,CWE-89,Linux;VMware,Chrome;Java SE;VPN Appliance,5.48779913574602,5.744564729854754,5.1273756316549415,NETWORK,HIGH,HIGH,REQUIRED,CHANGED,LOW,LOW,NONE,2018-08-16T19:50Z,2018-10-06T23:35Z,0
CVE-2020-204025,Vulnerability in product allows CWE-787 with LOCAL access and LOW attack complexity. Requires LOW privileges and user interaction=NONE. CVSS base score 4.9. Exploitation in the wild has not been confirmed.,CWE-787,VMware,Database Server;Web Browser;Windows,4.852491299285895,3.916314688715633,5.033742768302192,LOCAL,LOW,LOW,NONE,CHANGED,LOW,NONE,NONE,2020-05-07T05:34Z,2020-03-18T20:39Z,0
CVE-2022-204349,Vulnerability in product allows CWE-200 with PHYSICAL access and LOW attack complexity. Requires HIGH privileges and user interaction=REQUIRED. CVSS base score 6.2. Exploitation in the wild has not been confirmed.,CWE-200,Cisco;IBM,Acrobat Reader;Chrome;Office,6.185493055192704,6.299915560762631,4.15897885586847,PHYSICAL,LOW,HIGH,REQUIRED,UNCHANGED,HIGH,HIGH,NONE,2022-07-19T13:57Z,2022-11-30T02:19Z,0
CVE-2022-207728,Vulnerability in product allows CWE-200 with LOCAL access and HIGH attack complexity. Requires LOW privileges and user interaction=NONE. CVSS base score 8.1. Exploitation in the wild has not been confirmed.,CWE-200,VMware,Office;Safari,8.080080032342371,7.7077731283033275,8.778522082497515,LOCAL,HIGH,LOW,NONE,CHANGED,NONE,LOW,NONE,2022-06-22T19:35Z,2022-09-14T18:17Z,0
CVE-2018-202737,Vulnerability in product allows CWE-119 with LOCAL access and LOW attack complexity. Requires LOW privileges and user interaction=REQUIRED. CVSS base score 5.6. Exploitation in the wild has not been confirmed.,CWE-119,SAP,Database Server,5.637964763312586,3.714279640880424,5.279244106230438,LOCAL,LOW,LOW,REQUIRED,UNCHANGED,LOW,NONE,LOW,2018-02-05T12:02Z,2018-10-06T14:30Z,0
CVE-2023-204989,Vulnerability in product allows CWE-79 with PHYSICAL access and HIGH attack complexity. Requires NONE privileges and user interaction=REQUIRED. CVSS base score 4.8. Exploitation in the wild has not been confirmed.,CWE-79,Apple,CMS,4.823601526390125,5.57875609321588,3.842387092104152,PHYSICAL,HIGH,NONE,REQUIRED,CHANGED,LOW,NONE,HIGH,2023-10-18T02:44Z,2023-07-26T19:29Z,0
CVE-2020-100251,Vulnerability in product allows CWE-787 with NETWORK access and LOW attack complexity. Requires NONE privileges and user interaction=NONE. CVSS base score 10.0. This issue has been observed exploited in the wild.,CWE-787,Cisco,Exchange Server;Safari,10.0,9.642260580230952,10.0,NETWORK,LOW,NONE,NONE,CHANGED,HIGH,HIGH,LOW,2020-02-27T12:01Z,2020-06-22T19:51Z,1
CVE-2022-203373,Vulnerability in product allows CWE-79 with NETWORK access and LOW attack complexity. Requires NONE privileges and user interaction=REQUIRED. CVSS base score 6.6. Exploitation in the wild has not been confirmed.,CWE-79,Adobe;IBM,CMS;Java SE,6.638810655752229,5.037928732901073,6.827111009135475,NETWORK,LOW,NONE,REQUIRED,UNCHANGED,HIGH,LOW,LOW,2022-11-10T03:06Z,2022-07-03T07:52Z,0
CVE-2022-206030,Vulnerability in product allows CWE-352 with LOCAL access and LOW attack complexity. Requires HIGH privileges and user interaction=REQUIRED. CVSS base score 6.1. Exploitation in the wild has not been confirmed.,CWE-352,Cisco,Acrobat Reader;Safari;Web Browser,6.077105056872903,5.7184934764163,6.124661322103943,LOCAL,LOW,HIGH,REQUIRED,CHANGED,HIGH,LOW,NONE,2022-02-22T12:29Z,2022-05-05T19:37Z,0
CVE-2021-204947,Vulnerability in product allows CWE-89 with LOCAL access and LOW attack complexity. Requires LOW privileges and user interaction=REQUIRED. CVSS base score 3.8. Exploitation in the wild has not been confirmed.,CWE-89,VMware,Exchange Server;Office;Web Browser,3.755973060147054,4.33590572406242,3.568827928388383,LOCAL,LOW,LOW,REQUIRED,CHANGED,LOW,LOW,NONE,2021-08-13T10:27Z,2021-12-08T08:55Z,0
CVE-2021-100035,Vulnerability in product allows CWE-79 with NETWORK access and HIGH attack complexity. Requires NONE privileges and user interaction=NONE. CVSS base score 6.5. This issue has been observed exploited in the wild.,CWE-79,Oracle,Acrobat Reader;Web Browser;iOS,6.513531848765897,6.674515421857059,6.040165717989637,NETWORK,HIGH,NONE,NONE,CHANGED,HIGH,HIGH,HIGH,2021-01-16T10:28Z,2021-06-21T22:09Z,1
CVE-2018-207762,Vulnerability in product allows CWE-476 with PHYSICAL access and LOW attack complexity. Requires NONE privileges and user interaction=REQUIRED. CVSS base score 4.6. Exploitation in the wild has not been confirmed.,CWE-476,Cisco;Google,iOS,4.626797695820267,1.5679934807140636,5.7252677708120085,PHYSICAL,LOW,NONE,REQUIRED,CHANGED,NONE,LOW,HIGH,2018-04-05T15:13Z,2018-01-19T17:18Z,0
CVE-2020-200913,Vulnerability in product allows CWE-89 with NETWORK access and LOW attack complexity. Requires HIGH privileges and user interaction=NONE. CVSS base score 7.1. Exploitation in the wild has not been confirmed.,CWE-89,Linux;VMware,Exchange Server;Web Browser,7.063755187074582,5.610913736182265,6.483420081834773,NETWORK,LOW,HIGH,NONE,CHANGED,LOW,LOW,NONE,2020-02-21T11:56Z,2020-07-16T21:46Z,0
CVE-2021-208717,Vulnerability in product allows CWE-200 with NETWORK access and HIGH attack complexity. Requires NONE privileges and user interaction=NONE. CVSS base score 5.8. Exploitation in the wild has not been confirmed.,CWE-200,Adobe;IBM,Database Server;VPN Appliance;iOS,5.762379113252884,3.5498478685778228,4.8053254861441586,NETWORK,HIGH,NONE,NONE,UNCHANGED,LOW,LOW,NONE,2021-09-29T23:50Z,2021-12-12T23:54Z,0
CVE-2023-100039,Vulnerability in product allows NVD-CWE-noinfo with NETWORK access and LOW attack complexity. Requires LOW privileges and user interaction=NONE. CVSS base score 8.4. This issue has been observed exploited in the wild.,NVD-CWE-noinfo,Cisco,Office,8.441659719820837,9.36162936753454,7.780872437790269,NETWORK,LOW,LOW,NONE,CHANGED,LOW,HIGH,HIGH,2023-12-17T15:25Z,2023-12-20T02:59Z,1
CVE-2020-204219,Vulnerability in product allows CWE-200 with NETWORK access and HIGH attack complexity. Requires HIGH privileges and user interaction=REQUIRED. CVSS base score 5.7. Exploitation in the wild has not been confirmed.,CWE-200,Cisco;Microsoft,Chrome,5.6824958082513115,2.168092068814228,6.56362794825407,NETWORK,HIGH,HIGH,REQUIRED,UNCHANGED,LOW,LOW,NONE,2020-07-13T20:02Z,2020-06-10T09:46Z,0
CVE-2022-202865,Vulnerability in product allows CWE-476 with NETWORK access and LOW attack complexity. Requires LOW privileges and user interaction=REQUIRED. CVSS base score 5.5. Exploitation in the wild has not been confirmed.,CWE-476,Apple;SAP,Android,5.4536599580356615,5.804595921803406,4.540953027173504,NETWORK,LOW,LOW,REQUIRED,UNCHANGED,NONE,HIGH,LOW,2022-04-24T05:56Z,2022-12-31T10:35Z,0
CVE-2020-201160,Vulnerability in product allows CWE-22 with NETWORK access and LOW attack complexity. Requires NONE privileges and user interaction=NONE. CVSS base score 6.0. Exploitation in the wild has not been confirmed.,CWE-22,Microsoft;VMware,Java SE,6.015330199809538,5.415578726954681,5.9809736764254975,NETWORK,LOW,NONE,NONE,CHANGED,HIGH,NONE,NONE,2020-02-13T17:40Z,2020-08-25T15:02Z,0
CVE-2021-201704,Vulnerability in product allows CWE-22 with NETWORK access and LOW attack complexity. Requires NONE privileges and user interaction=NONE. CVSS base score 3.7. Exploitation in the wild has not been confirmed.,CWE-22,SAP,Chrome;Windows;iOS,3.6735606491384423,2.452280553634628,5.140514326105134,NETWORK,LOW,NONE,NONE,UNCHANGED,LOW,LOW,LOW,2021-11-10T17:56Z,2021-12-25T01:14Z,0
CVE-2020-203123,Vulnerability in product allows CWE-22 with ADJACENT access and HIGH attack complexity. Requires HIGH privileges and user interaction=REQUIRED. CVSS base score 6.1. Exploitation in the wild has not been confirmed.,CWE-22,Apple,CMS,6.128011324333625,4.868301888220353,4.585564709585764,ADJACENT,HIGH,HIGH,REQUIRED,CHANGED,NONE,LOW,NONE,2020-10-21T22:44Z,2020-02-29T22:31Z,0
CVE-2022-207684,Vulnerability in product allows CWE-200 with LOCAL access and LOW attack complexity. Requires LOW privileges and user interaction=NONE. CVSS base score 3.4. Exploitation in the wild has not been confirmed.,CWE-200,Oracle,Exchange Server;VPN Appliance,3.4418207056317,3.4758864401137073,2.42103820248422,LOCAL,LOW,LOW,NONE,UNCHANGED,HIGH,NONE,NONE,2022-09-10T15:42Z,2022-09-19T10:40Z,0
CVE-2023-204393,Vulnerability in product allows CWE-20 with LOCAL access and HIGH attack complexity. Requires NONE privileges and user interaction=REQUIRED. CVSS base score 6.3. Exploitation in the wild has not been confirmed.,CWE-20,SAP,Acrobat Reader;Exchange Server,6.313729337165586,5.22156294912091,5.90358637443097,LOCAL,HIGH,NONE,REQUIRED,UNCHANGED,HIGH,NONE,HIGH,2023-01-22T00:04Z,2023-02-06T12:49Z,0
CVE-2019-207527,Vulnerability in product allows CWE-119 with LOCAL access and LOW attack complexity. Requires LOW privileges and user interaction=NONE. CVSS base score 6.5. Exploitation in the wild has not been confirmed.,CWE-119,Google;Oracle,CMS;VPN Appliance;iOS,6.516289988749655,5.454525653843944,5.967699951870454,LOCAL,LOW,LOW,NONE,CHANGED,LOW,NONE,NONE,2019-05-06T12:43Z,2019-12-02T14:30Z,0
CVE-2022-202432,Vulnerability in product allows CWE-287 with LOCAL access and HIGH attack complexity. Requires HIGH privileges and user interaction=NONE. CVSS base score 8.6. Exploitation in the wild has not been confirmed.,CWE-287,Google;SAP,CMS;Office,8.59769319790594,7.011038989558977,10.0,LOCAL,HIGH,HIGH,NONE,UNCHANGED,NONE,LOW,NONE,2022-11-12T12:34Z,2022-12-02T23:42Z,0
CVE-2022-207338,Vulnerability in product allows CWE-119 with NETWORK access and HIGH attack complexity. Requires LOW privileges and user interaction=REQUIRED. CVSS base score 2.8. Exploitation in the wild has not been confirmed.,CWE-119,Apple,Chrome;VPN Appliance;Web Browser,2.842977488794319,2.3602864410410906,1.221510149337018,NETWORK,HIGH,LOW,REQUIRED,UNCHANGED,NONE,HIGH,NONE,2022-08-23T07:37Z,2022-05-18T12:40Z,0
CVE-2020-202439,Vulnerability in product allows CWE-119 with LOCAL access and HIGH attack complexity. Requires LOW privileges and user interaction=REQUIRED. CVSS base score 7.5. Exploitation in the wild has not been confirmed.,CWE-119,Microsoft;SAP,Acrobat Reader,7.529582138010373,6.206514365021635,5.7590156296698884,LOCAL,HIGH,LOW,REQUIRED,CHANGED,LOW,HIGH,NONE,2020-06-10T20:38Z,2020-03-26T19:19Z,0
CVE-2023-209055,Vulnerability in product allows CWE-352 with LOCAL access and HIGH attack complexity. Requires HIGH privileges and user interaction=REQUIRED. CVSS base score 2.5. Exploitation in the wild has not been confirmed.,CWE-352,IBM;SAP,Database Server,2.526908215326446,1.3055104427778135,3.4000752402046017,LOCAL,HIGH,HIGH,REQUIRED,UNCHANGED,NONE,HIGH,LOW,2023-05-06T13:53Z,2023-07-11T20:41Z,0
CVE-2019-201945,Vulnerability in product allows CWE-79 with ADJACENT access and LOW attack complexity. Requires LOW privileges and user interaction=REQUIRED. CVSS base score 7.9. Exploitation in the wild has not been confirmed.,CWE-79,Google;Oracle,Database Server,7.926664210359396,5.596018989074089,7.68683848692666,ADJACENT,LOW,LOW,REQUIRED,CHANGED,NONE,HIGH,LOW,2019-09-23T00:52Z,2019-02-28T18:37Z,0
CVE-2023-201992,Vulnerability in product allows CWE-22 with LOCAL access and HIGH attack complexity. Requires LOW privileges and user interaction=NONE. CVSS base score 5.1. Exploitation in the wild has not been confirmed.,CWE-22,Cisco,Safari;iOS,5.0508467995144954,3.8183535737976575,3.149838337869519,LOCAL,HIGH,LOW,NONE,CHANGED,NONE,LOW,HIGH,2023-03-04T00:30Z,2023-07-05T00:52Z,0
CVE-2022-200588,Vulnerability in product allows CWE-787 with NETWORK access and LOW attack complexity. Requires NONE privileges and user interaction=REQUIRED. CVSS base score 6.0. Exploitation in the wild has not been confirmed.,CWE-787,Adobe;IBM,Acrobat Reader,6.030047148340565,7.189431250104212,5.244451111007766,NETWORK,LOW,NONE,REQUIRED,CHANGED,NONE,LOW,LOW,2022-02-21T14:53Z,2022-02-05T11:11Z,0
CVE-2018-207366,Vulnerability in product allows CWE-22 with NETWORK access and LOW attack complexity. Requires LOW privileges and user interaction=REQUIRED. CVSS base score 6.2. Exploitation in the wild has not been confirmed.,CWE-22,Linux,VPN Appliance;iOS,6.202509860811078,4.92759950987546,6.773848364508182,NETWORK,LOW,LOW,REQUIRED,CHANGED,NONE,NONE,LOW,2018-05-17T02:32Z,2018-06-02T16:23Z,0
CVE-2022-205477,Vulnerability in product allows CWE-89 with ADJACENT access and LOW attack complexity. Requires HIGH privileges and user interaction=NONE. CVSS base score 1.9. Exploitation in the wild has not been confirmed.,CWE-89,IBM,CMS;Java SE;Windows,1.8703923513090093,0.8621818902244431,2.3965733260520103,ADJACENT,LOW,HIGH,NONE,CHANGED,LOW,NONE,LOW,2022-02-13T16:27Z,2022-12-25T05:28Z,0
CVE-2019-100107,Vulnerability in product allows CWE-22 with NETWORK access and LOW attack complexity. Requires LOW privileges and user interaction=REQUIRED. CVSS base score 8.7. This issue has been observed exploited in the wild.,CWE-22,Linux,Android;Java SE;iOS,8.703048668376864,10.0,7.949172860509766,NETWORK,LOW,LOW,REQUIRED,UNCHANGED,HIGH,HIGH,HIGH,2019-11-10T20:32Z,2019-04-22T02:37Z,1
CVE-2018-200715,Vulnerability in product allows CWE-352 with ADJACENT access and LOW attack complexity. Requires NONE privileges and user interaction=REQUIRED. CVSS base score 3.8. Exploitation in the wild has not been confirmed.,CWE-352,Apple;Oracle,Linux Kernel;Web Browser;Windows,3.8248860439495798,3.2769279403128544,2.2520623566194455,ADJACENT,LOW,NONE,REQUIRED,UNCHANGED,NONE,LOW,LOW,2018-03-23T05:00Z,2018-08-30T01:50Z,0
